refDes,week,pct_science
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-11,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-18,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-05-25,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-01,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-08,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-15,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-22,87.5
CE02SHBP-LJ01D-07-VEL3DC108,2026-06-29,87.5
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-06,94.6
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-13,83.4
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-20,85.3
CE02SHBP-LJ01D-08-OPTAAD106,2025-10-27,93.4
CE02SHBP-LJ01D-08-OPTAAD106,2025-11-03,88.9
CE02SHBP-LJ01D-08-OPTAAD106,2025-11-10,96.2
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-06,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-13,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-20,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-10-27,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-03,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-10,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-17,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-11-24,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-01,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-08,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-15,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-22,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2025-12-29,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-05,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-12,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-19,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-01-26,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-02,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-09,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-16,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-02-23,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-02,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-09,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-16,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-23,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-03-30,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-06,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-13,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-20,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-04-27,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-04,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-11,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-18,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-05-25,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-01,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-08,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-15,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-22,100.0
CE02SHBP-LJ01D-09-PCO2WB103,2026-06-29,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-06,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-13,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-20,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-10-27,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-03,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-10,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-17,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-11-24,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-01,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-08,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-15,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-22,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2025-12-29,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-05,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-12,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-19,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-01-26,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-02,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-09,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-16,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-02-23,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-02,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-09,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-16,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-23,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-03-30,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-06,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-13,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-20,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-04-27,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-04,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-11,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-18,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-05-25,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-01,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-08,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-15,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-22,100.0
CE04OSBP-LJ01C-05-ADCPSI103,2026-06-29,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-06,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-13,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-20,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-10-27,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-03,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-10,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-17,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-11-24,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-01,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-08,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-15,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-22,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2025-12-29,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-05,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-12,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-19,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-01-26,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-02,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-09,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-16,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-02-23,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-02,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-09,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-16,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-23,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-03-30,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-06,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-13,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-20,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-04-27,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-04,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-11,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-18,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-05-25,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-01,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-08,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-15,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-22,100.0
CE04OSBP-LJ01C-06-CTDBPO108,2026-06-29,100.0
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-22,97.0
CE04OSBP-LJ01C-08-OPTAAC104,2026-06-29,96.7
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-06,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-13,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-20,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-10-27,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-03,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-10,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-17,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-11-24,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-01,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-08,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-15,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-22,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2025-12-29,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-05,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-12,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-19,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-01-26,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-02,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-09,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-16,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-02-23,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-02,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-09,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-16,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-23,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-03-30,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-06,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-13,100.0
CE04OSBP-LJ01C-09-PCO2WB104,2026-04-20,100.0
